tax_name	tax_rank	taxa_full_id
Actinomadura sp. new-30-5s-4-5	species	765950
Actinomadura sp. NN242	species	748019
Actinomadura sp. OS1-43	species	604315
Actinomadura sp. OS3-82	species	604317
Actinomadura sp. S14	species	658460
Actinomadura sp. Shinshu-MS-03	species	299143
Actinomadura sp. TCA62003	species	1280313
Actinomadura sp. TFS 455	species	422298
Actinomadura sp. UKMCC_L29	species	1048648
Actinomadura sp. XMU188	species	864118
Actinomadura vinacea	species	115336
Actinomadura viridilutea	species	58112
Actinomadura viridis	species	58110
Actinomadura xylanilytica	species	887459
Actinomadura yumaensis	species	111807
Actinomyces bovis	species	1658
Actinomyces bowdenii	species	131109
Actinomyces canis	species	100469
Actinomyces cardiffensis	species	181487
Actinomyces catuli	species	119495
Actinomyces cf. urogenitalis M560/98/1	species	99918
Actinomyces coleocanis	species	103618
Actinomyces dentalis	species	272548
Actinomyces europaeus	species	66228
Actinomyces funkei	species	132933
Actinomyces genomosp. C1	species	230126
Actinomyces genomosp. C2	species	230127
Actinomyces georgiae	species	52768
Actinomyces gerencseriae	species	52769
Actinomyces graevenitzii	species	55565
Actinomyces haliotis	species	1280843
Actinomyces hominis	species	595468
Actinomyces hongkongensis	species	178339
Actinomyces hordeovulneris	species	52770
Actinomyces hyovaginalis	species	29316
Actinomyces israelii	species	1659
Actinomyces johnsonii	species	544581
Actinomyces lingnae	species	114702
Actinomyces massiliensis	species	461393
Actinomyces meyeri	species	52773
Actinomyces naeslundii	species	1655
Actinomyces nasicola	species	208480
Actinomyces naturae	species	635203
Actinomyces neuii	species	33007
Actinomyces odontolyticus	species	1660
Actinomyces oricola	species	206043
Actinomyces orihominis	species	236751
Actinomyces oris	species	544580
Actinomyces polynesiensis	species	1325934
Actinomyces radicidentis	species	111015
Actinomyces radingae	species	131110
Actinomyces sp.	species	29317
Actinomyces sp. 1656/06	species	700506
Actinomyces sp. 2002-2301122	species	226534
Actinomyces sp. 4321/06	species	675091
Actinomyces sp. canine oral taxon 083	species	1151477
Actinomyces sp. canine oral taxon 252	species	1151530
Actinomyces sp. canine oral taxon 374	species	1151592
Actinomyces sp. canine oral taxon 404	species	1347138
Actinomyces sp. canine oral taxon 412	species	1347140
Actinomyces sp. canine oral taxon 417	species	1347141
Actinomyces sp. ChDC B197	species	209049
Actinomyces sp. GTC3949	species	621406
Actinomyces sp. HKU31	species	912695
Actinomyces sp. ICM34	species	936546
Actinomyces sp. ICM39	species	1105029
Actinomyces sp. ICM41	species	936547
Actinomyces sp. ICM47	species	936548
Actinomyces sp. ICM54	species	936549
Actinomyces sp. ICM58	species	1105030
Actinomyces sp. oral strain B19SC	species	135018
Actinomyces sp. oral strain Hal-1065	species	163586
Actinomyces sp. oral strain Hal-1083	species	163587
Actinomyces sp. oral taxon 170	species	712117
Actinomyces sp. oral taxon 175	species	712119
Actinomyces sp. oral taxon 178	species	710238
Actinomyces sp. oral taxon 180	species	651609
Actinomyces sp. oral taxon 448	species	712124
Actinomyces sp. oral taxon C55	species	712130
Actinomyces sp. ph3	species	1118058
Actinomyces sp. S4-C9	species	1219581
Actinomyces sp. S5-BM9	species	1230727
Actinomyces sp. S6-Spd3	species	1284680
Actinomyces sp. S8 86-2a	species	1330232
Actinomyces sp. S8 AA1-3	species	1330233
Actinomyces sp. S9 HS-9	species	1344327
Actinomyces sp. S9 PR-21	species	1344328
Actinomyces sp. VA20732_01	species	157828
Actinomyces sp. ZSY-1	species	984238
Actinomyces turicensis	species	131111
Actinomyces urogenitalis	species	103621
Actinomyces viscosus	species	1656
Actinomycetospora chiangmaiensis	species	402650
Actinomycetospora chlora	species	663608
Actinomycetospora cinnamomea	species	663609
Actinomycetospora corticicola	species	663602
Actinomycetospora iriomotensis	species	878213
Actinomycetospora lutea	species	663604
Actinomycetospora rishiriensis	species	878212
Actinomycetospora sp. CAP 335	species	913944
Actinomycetospora sp. YIM 68245	species	673520
Actinomycetospora succinea	species	663603
Actinophytocola gilvus	species	1468259
Actinophytocola oryzae	species	502181
Actinoplanes auranticolor	species	47988
Actinoplanes consettensis	species	113560
Actinoplanes couchii	species	403638
Actinoplanes cyaneus	species	52696
Actinoplanes digitatis	species	1868
Actinoplanes durhamensis	species	113563
Actinoplanes friuliensis	species	196914
Actinoplanes garbadinensis	species	69485
Actinoplanes kinshanensis	species	122366
Actinoplanes liguriensis	species	69484
Actinoplanes lutulentus	species	1287878
Actinoplanes philippinensis	species	35752
Actinoplanes regularis	species	52697
Actinoplanes sp. 80051	species	324927
Actinoplanes sp. 80820	species	324934
Actinoplanes sp. ACT-0103	species	675309
Actinoplanes sp. DSM 24059	species	1391216
Actinoplanes sp. G31	species	464125
Actinoplanes sp. HBUM 84225	species	464128
Actinoplanes sp. HBUM 84231	species	464129
Actinoplanes sp. HBUM 87072	species	464132
Actinoplanes sp. L1209	species	376291
Actinoplanes sp. LW-10	species	943259
Actinoplanes sp. M32(2011)	species	941753
Actinoplanes sp. MN08-A0204	species	767909
Actinoplanes sp. PS19-16	species	1070426
Actinopolymorpha pittospori	species	648752
Actinospica sp. 645151	species	936229
Actinospica sp. Gamma22	species	355928
Actinospica sp. Gamma28	species	304904
Actinotalea caeni	species	1348467
Actinotalea fermentans	species	43671
Actinotalea sp. M0-14	species	1323430
Actinotignum schaalii	species	59505
Actinotignum urinale	species	190146
Adhaeribacter aerolatus	species	670289
Adhaeribacter aerophilus	species	670288
Adhaeribacter aquaticus	species	299567
Adhaeribacter sp. H9	species	1312951
Adhaeribacter sp. KS35	species	447266
Adhaeribacter sp. TSX13-1	species	763410
Adhaeribacter sp. W1.09-109	species	1341477
Adhaeribacter terreus	species	529703
Adlercreutzia equolifaciens	species	446660
Advenella faeciporci	species	797535
Advenella kashmirensis	species	310575
Advenella sp. P-7	species	1281658
Advenella sp. R-20007	species	267803
Advenella sp. SS-2009-PON8	species	715441
Advenella sp. TM8_8	species	359072
Aequorivita antarctica	species	153266
Aequorivita lipolytica	species	153267
Aequorivita soesokkakensis	species	1385699
Aequorivita sp. 2-4	species	1148233
Aequorivita sp. D7-13	species	404858
Aequorivita sp. ZS2-16	species	641645
Aeribacillus pallidus	species	33936
Aeribacillus sp. E334	species	575254
Aeriscardovia aeriphila	species	218139
Aerococcus christensenii	species	87541
Aerococcus sanguinicola	species	119206
Aerococcus sp. B43(2010)	species	930151
Aerococcus sp. KK-14	species	1224906
Aerococcus urinae	species	1376
Aerococcus urinaeequi	species	51665
Aerococcus urinaehominis	species	128944
Aerococcus viridans	species	1377
Aeromicrobium ginsengisoli	species	363867
Aeromicrobium kwangyangensis	species	454754
Aeromicrobium panaciterrae	species	363861
Aeromicrobium ponti	species	460257
Aeromicrobium sp. 1/4_C7/16_31	species	440152
Aeromicrobium sp. DM4	species	579976
Aeromicrobium sp. DR8	species	579977
Aeromicrobium sp. E12	species	675610
Aeromicrobium sp. Es15	species	1327041
Aeromicrobium sp. FSGSN3	species	1484700
Aeromicrobium sp. H43	species	1312952
Aeromicrobium sp. IARI-CL7	species	1495164
Aeromicrobium sp. L16	species	707004
Aeromicrobium sp. LCK-2009.1	species	1032300
Aeromicrobium sp. PDD-24b-9	species	994506
Aeromicrobium sp. PL34a1_S1	species	1005148
Aeromicrobium sp. Sr29	species	1258823
Aeromicrobium sp. ZS218-2	species	1230653
Aeromicrobium tamlense	species	375541
Aeromonas caviae	species	648
Aeromonas hydrophila	species	644
Aeromonas media	species	651
Aeromonas popoffii	species	70856
Aeromonas salmonicida	species	645
Aeromonas simiae	species	218936
Aeromonas sp. B11	species	650453
Aeromonas sp. CeRB004	species	763696
Aeromonas sp. D6	species	295116
Aeromonas sp. KR4.4	species	1282171
Aeromonas sp. SR4.11	species	1282179
Aeromonas sp. ZL1-r	species	362950
Aeromonas veronii	species	654
Aerosphaera taetra	species	137461
Aestuariibacter halophilus	species	226011
